product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,pieces_raw
butter,1698740584-25,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Flora 100% pflanzlich,3.1,250g,
butter,1698740584-26,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Rama Sooo BUTTRIG!,4.5,400g,
butter,1698740584-27,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,3.6,200g,
butter,1698740584-28,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,4.4,200g,
butter,1698740584-29,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,4.55,200g,
butter,1698740584-30,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,4.8,200g,
butter,1698740584-31,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Vorzugsbutter Mödeli,3.45,200g,
butter,1698740584-32,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Pro Montagna Vorzugsbutter,3.7,150g,
butter,1698740584-33,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,2.15,100g,
butter,1698740584-34,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter Portion 4x15g,2.1,60g,
butter,1698740584-35,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,2.4,100g,
butter,1698740584-36,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Joghurt-Butter,4.85,200g,
butter,1698740584-37,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Free From Vorzugsbutter lactosefrei,5.15,200g,
butter,1698740584-38,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Regio Butter Romandie,4.7,200g,
butter,1698740584-39,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Halbfettbutter -50% Fett,3.45,200g,
butter,1698740584-40,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Emmi Butter mit Rapsöl,4.25,200g,
butter,1698740584-41,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,2.6,100g,
butter,1698740584-42,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Free From Bio Vorzugsbutter,2.95,100g,
butter,1698740584-43,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Soft Butter mit Rapsöl,3.5,200g,
butter,1698740584-44,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturli Bio streichzarter Block,4.1,200g,
butter,1698740584-45,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Milco Beurre de Tradition,4.3,150g,
butter,1698740584-46,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,EchtEntlebuch Heumilchbutter,3.45,150g,
butter,1698740584-47,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Emmi good day Buttermousse,4.95,130g,
butter,1698740584-48,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Cremo Butter streichbar,4.7,200g,
butter,1698740584-49,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Beurre du Pays Butter,4.15,200g,
butter,1698740584-50,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Mödeli,3.95,250g,
butter,1698740584-51,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Butter Mödeli,3.8,250g,
